term_str,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
upon,0.0028002397,0.00049703737,0.0042949095,0.0009455162,0.0007876077,0.00067326264,0.0031196538,0.0005023743,0.00015250973,0.0013303737
let,0.0027693608,0.00022477863,1.0027316e-06,9.996087e-05,0.000595227,5.8007783e-05,0.004620804,0.00074576633,0.0078046652,2.0787418e-05
religion,0.002648301,1.583675e-05,0.0023416765,0.000419018,0.00011345072,0.00012308279,1.13641455e-07,9.19641e-06,4.171191e-05,0.0010527811
life,0.0026383298,8.9983914e-05,0.00035941912,0.010315714,0.015161958,0.00050906645,0.008953196,0.006369387,0.009644743,0.0068663573
apostolic,0.002623789,0.0005733379,0.0030020422,0.00050600024,0.0045100437,0.00788735,6.208612e-05,0.0039046335,0.000116897005,7.7043274e-05
know,0.0026016552,0.00052997837,0.0022857394,0.002454524,0.0025359136,0.0004066941,0.0017864988,0.0018957857,0.0062620705,0.00083391333
work,0.002563696,0.0005327036,0.0011917081,0.0018151882,0.004989175,0.0035712277,0.00077081664,0.0055747926,0.0027734018,0.00666662
since,0.002528427,0.0004714862,0.00076057104,0.0013647149,0.0008474458,0.0016291069,0.00042729883,0.0005415504,0.00027321593,0.0008638011
without,0.0024509658,4.7284382e-05,0.00017088836,0.0018703872,0.0011035101,0.001356348,0.000592037,0.0004010403,0.0034212666,0.0021451628
desire,0.0024449509,0.00076937384,0.0024296506,0.0010562976,0.0007594359,0.00041748452,0.0008191921,0.0011019964,0.00094984175,0.00055588776
among,0.0024292364,0.0015865177,0.0033995637,0.000693297,0.002542541,0.001392956,0.0013194039,0.0011943206,0.00073151244,0.0015564039
virtue,0.0024161625,4.5966175e-07,0.00017294685,0.00061908725,0.00043885896,0.00037936697,0.00013576788,0.00013618729,0.00015717602,0.0001331196
people,0.002375744,0.0009834155,0.017097725,0.0012896926,0.009977884,0.00048547846,0.004804431,0.0045904825,0.011154546,0.0074928165
society,0.0023104693,8.630265e-07,0.0019236191,0.0002672843,0.0023135482,0.0002108609,9.026643e-07,0.0009912146,0.00025350467,0.0064117624
holy,0.0022811575,0.001727832,0.015274394,0.0027807073,0.0037963316,0.007205146,0.009970574,0.004893926,0.0021047683,0.00013769013
charity,0.0022727707,0.00024726026,3.583422e-05,0.00092090585,0.0020291249,0.00012018084,0.00015595592,0.0021109427,0.00044644653,0.00024464817
well,0.0022373307,6.528991e-05,0.002427742,0.0007655513,0.0016088851,0.0025778136,0.00032225004,0.0023342571,0.0017397893,0.0018032303
true,0.0022366776,9.145639e-05,0.0009947945,0.0030765818,0.0012682416,0.0001757091,0.0014679662,0.0005506086,0.0017407336,0.0017258276
public,0.0021979355,4.5986818e-07,0.00043273356,9.1920854e-05,0.00012562657,0.0008509133,0.00012396814,0.00016614256,4.0919786e-06,0.0015022019
nature,0.002178526,6.469336e-05,3.463622e-05,0.0023606042,0.00025044073,0.0012486062,9.8865734e-05,2.4712876e-05,3.9637966e-06,0.0013569631
place,0.0021502534,0.00052958255,0.0015961115,0.0014952342,0.0017509395,0.0025619485,0.0025499782,0.0026862833,0.0016850862,0.0021114633
bring,0.002119511,0.00068499404,0.0017653679,0.0012231501,0.0021588139,0.000289438,0.0025660018,0.0009774565,0.0018864723,0.0012995178
way,0.0020824948,0.00041147892,0.0008625287,0.0064794603,0.0040186476,0.0027934534,0.0029807496,0.0026589378,0.0053547053,0.0033207308
use,0.0020569765,4.3219487e-05,1.8409791e-07,0.0012445265,6.162114e-05,0.0022910815,0.0002867158,4.999919e-05,0.0011307393,0.0015048077
nation,0.0020542003,0.0004485689,0.011402349,6.863853e-05,0.00035339943,2.5250141e-05,0.00065065763,3.239297e-05,9.169621e-07,0.003222626
