doc_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
pope_benedict_xvi__meeting_with_the_representatives_of_science,0.09970511877837077,0.10568660303076767,0.46765976584598673,0.2805732570761966,5.427187104294668e-05,0.009057387461234483,5.42723244242328e-05,5.427184065399915e-05,0.01591799519457529,0.021237056576747165
pope_benedict_xvi__motu_proprio,0.0013162820279032273,0.0749984092687902,0.0013158744404363856,0.0013160363575548896,0.0013158204451261678,0.9144736678971134,0.0013158488764175005,0.0013159277480531168,0.0013161980914970818,0.001315934847107942
pope_benedict_xvi__proclamation_of_st_john_of_avila_and_st_hildegarde,0.006127017675160891,0.00012183753886069938,0.00012183631933924537,0.2889991622705918,0.028760631727256056,0.00012180535262392297,0.0001218382171297568,0.11775905755261187,0.5577449748918567,0.00012183845456907376
pope_benedict_xvi__redactional_note_on_the_instruction_universae_eccl,0.9952114312608309,0.0005320406897960282,0.0005320237804361649,0.0005320829972843369,0.0005320058406607248,0.0005319579251372748,0.0005321405612258241,0.0005320887185213992,0.0005321713790106964,0.0005320568470967711
pope_benedict_xvi__responses_to_certain_questions_of_the_united_state,0.4281804789171828,0.28626018013042215,0.2800026313621514,0.0007938557127714582,0.0007938440136247931,0.0007936535723374763,0.0007938022413576084,0.0007938494880036871,0.0007938318032899871,0.0007938727588586404
pope_benedict_xvi__responses_to_some_questions_regarding_certain_aspe,0.2509969882638077,0.00011964152326483934,0.1208277472215587,0.00011965183972832316,0.00011964923109247501,0.017050090608785453,0.00011964803467427829,0.00011965096107683391,0.6104072803920141,0.00011965192399732761
pope_benedict_xvi__sacramentum_caritatis,0.10132054859622419,0.006843053620791641,6.9126819844633674e-06,0.16556226068060964,6.9128807933578846e-06,6.912532162982098e-06,6.912610120875859e-06,0.1799594448557333,0.546280128960193,6.912581386551258e-06
pope_benedict_xvi__spe_salvi,1.2398532006114654e-05,0.14364372802486147,0.23876025150083185,0.5451902763901499,1.2397883220813421e-05,1.239640045695389e-05,0.05590867544135538,1.239833043716014e-05,1.2397967332945453e-05,0.016435079529347345
pope_benedict_xvi__summorum_pontificum,0.8506197071980119,0.00010778917761073471,0.00010778375165786428,0.00010778577990406688,0.00010778762709937554,0.00010777419640746427,0.022939556308294414,0.06832261483640643,0.05747141495893433,0.00010778616567336104
pope_bl__pius_ix__amantissimi_redemptoris,0.26294844680987656,9.749035645878154e-05,9.749159470871488e-05,9.749635006282563e-05,9.749058936662063e-05,9.746685705503536e-05,0.3144329078685256,0.336256195043289,9.749131830479506e-05,0.08577752321235199
pope_bl__pius_ix__amantissimus,0.11353757579733538,7.175291366459345e-05,0.038694050668036745,7.175849752278641e-05,0.02348155532185273,7.173625915317921e-05,0.7509946871614879,7.175805841327695e-05,7.175788717701313e-05,0.07293336743535639
pope_bl__pius_ix__apostolicae_nostrae_caritatis,0.042253956950712164,0.0001395053114251015,0.00013950507884697815,0.002722813167670407,0.00013950411344909196,0.00013947125091314942,0.6507579545734219,0.17046965254458055,0.0001395101390243383,0.13309812686995642
pope_bl__pius_ix__beneficia_dei,0.00015777558680315107,0.0001577768958498745,0.00015776888979334528,0.013206730367904661,0.00015776870042917635,0.00015772965442201165,0.7276051507271022,0.12349548343201681,0.00015777343438028616,0.13474604231129858
pope_bl__pius_ix__cum_nuper,0.1309107793494597,0.00011936328259663904,0.04014434528788484,0.00011936547115043317,0.0894742316278008,0.00011933271568455917,0.6006129907295352,0.00011936509940959367,0.0001193671360707941,0.13826085930040752
pope_bl__pius_ix__cum_sancta_mater_ecclesia,0.06275302428059736,0.0003610992152456301,0.0003610849012307315,0.06018360315953957,0.00036107806480013984,0.00036101508525470766,0.574167246574178,0.2601240598110118,0.0003611090597755415,0.040966679848366494
pope_bl__pius_ix__dives_in_misericordia_deus,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
pope_bl__pius_ix__etsi_multa,0.016041580824711493,4.3968712328049156e-05,0.07650438422424446,4.39675722536001e-05,0.04328997493043938,4.395631441331955e-05,0.4669769143496692,4.3969042222239585e-05,4.396842222558106e-05,0.39696731560749265
pope_bl__pius_ix__exultavit_cor_nostrum,0.00016505915456004934,0.0001650554420939993,0.00016506867133897032,0.00016506623333767024,0.0001650660077591363,0.00016501743079976817,0.8497190749391079,0.1082042672715944,0.00016505319152996232,0.04092127165787819
pope_bl__pius_ix__graves_ac_diuturnae,0.0001479771630916941,0.0001479607051207156,0.06003668230085693,0.00014797139267129793,0.07446774209299893,0.00014792988331984244,0.6401727475778648,0.0001479687077185917,0.02450241364041852,0.20008060653593873
